name,id,habitat,level,captured,speed,info,blood,attackPower,lifelong,bait.id,filename,price
抹香鯨,11,aquatilia,1,FALSE,1,"""抹香鯨是體型最大的齒鯨，廣泛分布於全世界不結冰的海域，從赤道到兩極都可發現牠們的?跡，其中以深且富生產力的海域為最常出沒在水深超過一千公尺的地方，世界三大洋均可見到抹香鯨的身影，.也有季節性的洄游習性，以多種槍烏賊和深海魚為主要食物。.同時具有動物界中最大體積的腦，能製造出品質良好的鯨油和鯨腦油，是人類早期重要的獵捕對象。.像其他的齒鯨一樣，抹香鯨的牙齒切片也具有一明一暗的齒質組成，可用作推估年齡。.只有左側鼻孔暢通用來呼吸，右側的鼻孔天生阻塞，因此抹香鯨在浮出水面呼吸時，噴氣柱以約45°角向左前方噴出; 這獨特的抹香鯨噴氣，在距離兩公里外的海面即可輕易辨識。.近十年來科學家仍發現抹香鯨具有複雜的社會結構且具方言性的聲音溝通，具有文化傳承的能力。.""",900,100,40,6,cachalot.png,300
犀牛 ,12,terrestrial,1,FALSE,1,"""是最大的奇蹄目動物，也是體型僅次於大象的大型陸地動物，主要分布在非洲和東南亞。.所有的犀牛基本上都是腿短和身體粗壯。.體肥笨拙，皮厚粗糙，並於肩腰等處成褶皺排列；毛被稀少而硬，甚至大部無毛；耳呈卵圓形，頭大而長，頸短粗，長唇延長伸出；.頭部有實心的獨角或雙角（有的雌性無角），起源於真皮，角脫落仍能復生；無犬齒。犀牛多數生存於開闊的草地，稀樹草原，灌木林或沼澤地，喜好獨居，多數時候都會避開人類。.但在交配季節時期的 雄犀牛，或帶領小犀牛的雌犀牛，稍受刺激就會攻擊任何目標，包括人類。.""",750,200,35,7,rhino.png,350
海馬,13,aquatilia,1,FALSE,1,,250,15,20,5,,150
海豚,14,aquatilia,1,FALSE,1,,350,30,30,4;6,,350
龍蝦,15,aquatilia,1,FALSE,1,,300,25,50,4;5,,300
海豹,16,aquatilia,1,TRUE,1,,800,5,30,6,,250
獅子魚,17,aquatilia,1,FALSE,1,,350,30,35,4;6,,200
魟魚,18,aquatilia,1,TRUE,1,,400,20,25,4;6,,200
劍魚,19,aquatilia,1,FALSE,1,,250,30,25,4;6,,200
無尾熊,20,terrestrial,1,TRUE,1,,300,20,35,2;7,koalaEnemy.png,25
狐狸,21,terrestrial,1,TRUE,1,,300,20,15,1;2;4;6,foxEnemy.png,50
斑馬,22,terrestrial,1,FALSE,1,,450,15,25,7,zebraEnemy.png,100
非洲象,23,terrestrial,1,FALSE,1,,900,10,40,2;7,elephantEnemy.png,125
熊貓,24,terrestrial,1,FALSE,1,,450,20,30,2,pandaEnemy.png,125
老鷹,25,terrestrial,1,FALSE,1,,450,50,20,1;3;6,eagleEnemy.png,125
伊蘭羚羊,26,terrestrial,1,FALSE,1,,600,30,25,7,elandEnemy.png,125
長頸鹿,27,terrestrial,1,FALSE,1,,750,50,30,2;7,giraffeEnemy.png,125
白鯊,28,aquatilia,1,FALSE,1,,300,250,35,6,sharkEnemy.png,125
花豹,29,terrestrial,1,FALSE,1,,450,70,20,1;3,pumaEnemy.png,150
抹香鯨,30,aquatilia,1,FALSE,1,,900,35,40,6,cachalotEnemy.png,150
犀牛 ,31,terrestrial,1,FALSE,1,,750,200,35,7,rhinoEnemy.png,175
